metric,type,last_period,this_period,amber,red (limit),higher_is_worse,RAG,owner,breach_action,review_cycle,basis
NPL ratio (Stage 3 / 90+ share of EAD),lagging,0.9,0.86,2.0,4.0,True,GREEN,Head of Credit Risk (independent 2nd line),Review provisioning adequacy; deep-dive worst segment; report to Board Risk Committee.,Monthly,APS 220 para 30 (asset quality) / IFRS 9 Stage 3
Stage 2 share of EAD (SICR watch book),leading,2.01,1.9,5.0,8.0,True,GREEN,Head of Credit Risk (independent 2nd line),Investigate SICR drivers; confirm staging/ECL; tighten watchlist cadence.,Monthly,APS 220 para 30 / IFRS 9 SICR
Expected-loss rate (bps of EAD),lagging,40.66,39.3,50.0,75.0,True,GREEN,Head of Credit Risk (independent 2nd line),Reassess ECL adequacy and pricing-for-risk; report EL trajectory to Board Risk Committee.,Monthly,APG 220 para 67(b) (provision/loss metrics) / APS 220 para 30
"NPL provision coverage (ECL / Stage 3 exposure, %)",lagging,45.29,45.75,35.0,25.0,False,GREEN,Head of Credit Risk (independent 2nd line),Reassess ECL staging and LGD assumptions; check for coverage drift vs rising NPLs.,Monthly,APG 220 para 67(b) (provision coverage ratios)
High-LVR book share (original LVR > 90% of EAD),leading,12.96,13.0,15.0,25.0,True,GREEN,Head of Credit Risk (independent 2nd line),Tighten origination LVR policy; review LMI coverage; report concentration to Board. Remediation executed by Mortgage Lending.,Quarterly,APS 220 para 35 (higher-risk products)
Current/indexed high-LVR share (current LVR > 90% of EAD),leading,0.0,0.0,10.0,18.0,True,GREEN,Head of Credit Risk (independent 2nd line),Reassess collateral coverage and LMI; stress regional HPI; review provisioning on negative-equity loans.,Quarterly,Basel CRE36.140 (continuous collateral monitoring)
Geographic concentration (top-state exposure share),lagging,17.3,17.27,20.0,30.0,True,GREEN,Head of Credit Risk (independent 2nd line),Review geographic limit; assess regional stress; consider new-business steering.,Quarterly,APS 220 para 35 (geographic concentration)
"Geographic concentration (state HHI, 0-10,000)",lagging,569.15,568.35,1500.0,2500.0,True,GREEN,Head of Credit Risk (independent 2nd line),Review geographic diversification; set/refresh state sub-limits.,Quarterly,APS 220 para 35 (concentration)
30->60 roll rate (trailing 12m),leading,15.49,15.73,20.0,30.0,True,GREEN,Head of Collections,Scale collections capacity; root-cause the deteriorating cohort; refresh roll-rate forecast.,Monthly,APG 220 para 66 (forward-looking indicators)
"New-delinquency roll (Current->30, trailing 12m)",leading,0.69,0.69,1.0,2.0,True,GREEN,Head of Collections,Early-stage collections review; check recent origination quality; alert credit policy.,Monthly,APG 220 para 66 (forward-looking indicators)
